139869	W. Sneijder	Netherlands
139068	Nani	Portugal
53302	D. De Rossi	Italy
24630	José Reina	Spain
20775	Quaresma	Portugal
20289	Y. Touré	Ivory Coast
5479	Casillas	Spain
230621	G. Donnarumma	Italy
222492	L. Sané	Germany
219809	T. Bakayoko	France
219683	C. Tolisso	France
217699	I. Slimani	Algeria
216594	N. Fekir	France
216451	J. Seri	Ivory Coast
215785	K. Baldé Diao	Senegal
213331	J. Tah	Germany
212404	F. Bernardeschi	Italy
212188	T. Werner	Germany
211575	André Gomes	Portugal
211300	A. Martial	France
209658	L. Goretzka	Germany
208808	Q. Promes	Netherlands
208618	Lucas Vázquez	Spain
208421	Saúl	Spain
207863	Felipe	Brazil
207664	C. Bacca	Colombia
207471	F. Vázquez	Italy
207410	M. Kovačić	Croatia
206652	Sergio Rico	Spain
206545	Manu Trigueros	Spain
205452	A. Rüdiger	Germany
204970	F. Thauvin	France
204639	S. Savić	Montenegro
204525	Iñigo Martínez	Spain
204277	Roque Mesa	Spain
203551	A. Florenzi	Italy
203483	D. Klaassen	Netherlands
202857	K. Bellarabi	Germany
202652	R. Sterling	England
202651	Suso	Spain
202477	Deulofeu	Spain
202335	E. Dier	England
201862	M. Rojo	Argentina
200949	Lucas	Brazil
200104	H. Son	Korea Republic
199845	F. Acerbi	Italy
199503	G. Xhaka	Switzerland
198164	Jonathan Viera	Spain
197965	Pizzi	Portugal
195093	Willian José	Brazil
193698	O. Baumann	Germany
193532	G. Medel	Chile
193469	Víctor Ruíz	Spain
193348	X. Shaqiri	Switzerland
193082	J. Cuadrado	Colombia
192387	C. Immobile	Italy
190483	Douglas Costa	Brazil
190456	N. Clyne	England
189560	Iborra	Spain
188943	K. Trapp	Germany
188942	V. Wanyama	Kenya
188803	Taison	Brazil
187754	Marlos	Brazil
187072	L. Stindl	Germany
186627	M. Balotelli	Italy
186561	A. Ramsey	Wales
186153	W. Szczęsny	Poland
184484	G. Sigurðsson	Iceland
184267	Y. Brahimi	Algeria
184200	M. Arnautović	Austria
183711	J. Henderson	England
183574	M. Kruse	Germany
183497	O. Karnezis	Greece
183376	L. Fejsa	Serbia
182494	F. Muslera	Uruguay
181786	V. Ćorluka	Croatia
181291	G. Wijnaldum	Netherlands
179847	F. Fazio	Argentina
178509	O. Giroud	France
178372	B. Ivanović	Serbia
178224	J. Hernández	Mexico
177600	Beñat	Spain
177457	L. Bender	Germany
177413	A. Witsel	Belgium
174543	C. Bravo	Chile
172723	A. Begović	Bosnia Herzegovina
171919	Naldo	Brazil
171833	D. Sturridge	England
169595	D. Rose	England
169416	C. Vela	Mexico
168354	E. Viviano	Italy
167431	G. Castro	Germany
165239	S. Nasri	France
163824	A. Williams	Wales
163705	S. Mandanda	France
163631	L. Baines	England
163489	A. Consigli	Italy
162347	João Moutinho	Portugal
158121	B. Costil	France
157481	Raúl Albiol	Spain
150724	J. Hart	England
150418	M. Gómez	Germany
144622	Raffael	Brazil
143745	A. Turan	Turkey
135507	Fernandinho	Brazil
113422	David Villa	Spain
108080	S. Lichtsteiner	Switzerland
104389	R. Jarstein	Norway
230666	Gabriel Jesus	Brazil
227928	Nélson Semedo	Portugal
227055	Gelson Martins	Portugal
222737	Malcom	Brazil
222028	J. Weigl	Germany
220793	D. Sánchez	Colombia
216354	A. Kramarić	Croatia
216352	M. Brozović	Croatia
216201	Williams	Spain
216194	Dani García	Spain
213661	A. Christensen	Denmark
212622	J. Kimmich	Germany
211368	Bruma	Portugal
210935	D. Berardi	Italy
210896	M. Sanson	France
210008	A. Rabiot	France
209889	R. Guerreiro	Portugal
208830	J. Vardy	England
208670	H. Ziyech	Morocco
207599	M. Keane	England
205498	Jorginho	Italy
203747	Héctor Bellerín	Spain
203042	J. Butland	England
202685	S. Zaza	Italy
202371	T. Meunier	Belgium
201995	Felipe Anderson	Brazil
201400	Rafinha	Brazil
200724	Nacho Fernández	Spain
199987	J. Cillessen	Netherlands
199564	Sergi Roberto	Spain
199451	W. Ben Yedder	France
199354	Lucas Pérez	Spain
199189	R. Barkley	England
198951	C. Bakambu	DR Congo
198717	W. Zaha	Ivory Coast
198141	Bartra	Spain
197853	S. Aurier	Ivory Coast
197655	S. Coates	Uruguay
197242	G. Krychowiak	Poland
195365	K. Kampl	Slovenia
195086	D. Lovren	Croatia
194794	A. Yarmolenko	Ukraine
193738	Y. Belhanda	Morocco
193525	Mário Fernandes	Russia
193352	R. Rodríguez	Switzerland
193165	J. Corona	Mexico
192789	Mario Gaspar	Spain
192638	Marcos Alonso	Spain
192318	M. Götze	Germany
190941	L. Hrádecký	Finland
190584	Illarramendi	Spain
190149	De Marcos	Spain
189881	C. Smalling	England
189574	Iturraspe	Spain
189461	J. Wilshere	England
189251	S. Rudy	Germany
188988	M. Lanzini	Argentina
188388	R. Boudebouz	Algeria
188005	Camacho	Spain
187961	Paulinho	Brazil
185431	N. Kalinić	Croatia
184942	Giuliano	Brazil
184111	C. Benteke	Belgium
183900	D. Perotti	Argentina
183498	M. Parolo	Italy
183483	K. Mitroglou	Greece
183285	M. Sakho	France
183280	A. Rami	France
181820	S. Jovetić	Montenegro
180216	S. Coleman	Republic of Ireland
179645	S. Kjær	Denmark
178086	Adán	Spain
177326	M. Valbuena	France
173426	S. Mignolet	Belgium
173198	D. Astori	Italy
172175	K. Mirallas	Belgium
171579	Raúl García	Spain
166706	M. Škrtel	Slovakia
163264	T. Heaton	England
161648	H. Ben Arfa	France
158625	Dante	Brazil
153244	A. Gignac	France
146954	Gabi	Spain
142780	G. Rodríguez	Argentina
139997	D. Srna	Croatia
